node_id,date,discharge_avg,year,week
67.65088_23.93122,2020-09-06,12106.604,2020,36
67.65088_23.93122,2020-09-13,11809.885,2020,37
67.65088_23.93122,2020-09-20,9089.841,2020,38
67.65088_23.93122,2020-09-27,7130.75,2020,39
67.65088_23.93122,2020-10-04,5709.982,2020,40
67.65088_23.93122,2020-10-11,4638.9053,2020,41
67.65088_23.93122,2020-10-18,3925.664,2020,42
67.65088_23.93122,2020-10-25,3644.7556,2020,43
67.65088_23.93122,2020-11-01,3503.8315,2020,44
67.65088_23.93122,2020-11-08,3194.816,2020,45
67.65088_23.93122,2020-11-15,3017.155,2020,46
67.65088_23.93122,2020-11-22,2685.6997,2020,47
67.65088_23.93122,2020-11-29,2471.576,2020,48
67.65088_23.93122,2020-12-06,2497.2566,2020,49
67.65088_23.93122,2020-12-13,2238.3572,2020,50
67.65088_23.93122,2020-12-20,1990.5837,2020,51
67.65088_23.93122,2020-12-27,1962.8683,2020,52
67.65088_23.93122,2021-01-03,2009.2053,2021,53
67.65088_23.93122,2021-01-10,1809.9442,2021,1
67.65088_23.93122,2021-01-17,1797.4642,2021,2
67.65088_23.93122,2021-01-24,1964.7567,2021,3
67.65088_23.93122,2021-01-31,1728.3527,2021,4
67.65088_23.93122,2021-02-07,1534.2634,2021,5
67.65088_23.93122,2021-02-14,1467.2322,2021,6
67.65088_23.93122,2021-02-21,1370.9108,2021,7
67.65088_23.93122,2021-02-28,1254.1428,2021,8
67.65088_23.93122,2021-03-07,1117.4197,2021,9
67.65088_23.93122,2021-03-14,1035.0312,2021,10
67.65088_23.93122,2021-03-21,1196.0358,2021,11
67.65088_23.93122,2021-03-28,1471.6384,2021,12
67.65088_23.93122,2021-04-04,1865.1295,2021,13
67.65088_23.93122,2021-04-11,2429.1562,2021,14
67.65088_23.93122,2021-04-18,2437.6653,2021,15
67.65088_23.93122,2021-04-25,2478.5134,2021,16
67.65088_23.93122,2021-05-02,2523.8972,2021,17
67.65088_23.93122,2021-05-09,2732.3884,2021,18
67.65088_23.93122,2021-05-16,2410.826,2021,19
67.65088_23.93122,2021-05-23,2375.0134,2021,20
67.65088_23.93122,2021-05-30,2444.5938,2021,21
67.65088_23.93122,2021-06-06,1149.3438,2021,22
67.65088_23.93122,2021-06-13,321.49106,2021,23
67.65088_23.93122,2021-06-20,169.52232,2021,24
67.65088_23.93122,2021-06-27,2666.6472,2021,25
67.65088_23.93122,2021-07-04,4127.8994,2021,26
67.65088_23.93122,2021-07-11,5190.3325,2021,27
67.65088_23.93122,2021-07-18,7424.7456,2021,28
67.65088_23.93122,2021-07-25,13037.212,2021,29
67.65088_23.93122,2021-08-01,13441.853,2021,30
67.65088_23.93122,2021-08-08,15103.234,2021,31
67.65088_23.93122,2021-08-15,10490.406,2021,32
67.65088_23.93122,2021-08-22,8545.661,2021,33
67.65088_23.93122,2021-08-29,6536.008,2021,34
67.65088_23.93122,2021-09-05,5261.96,2021,35
67.65088_23.93122,2021-09-12,4711.6284,2021,36
67.65088_23.93122,2021-09-19,4280.1006,2021,37
67.65088_23.93122,2021-09-26,4259.596,2021,38
67.65088_23.93122,2021-10-03,3857.6775,2021,39
67.65088_23.93122,2021-10-10,3317.3997,2021,40
67.65088_23.93122,2021-10-17,2917.405,2021,41
67.65088_23.93122,2021-10-24,2954.441,2021,42
67.65088_23.93122,2021-10-31,3058.0972,2021,43
67.65088_23.93122,2021-11-07,3310.058,2021,44
67.65088_23.93122,2021-11-14,3049.2878,2021,45
67.65088_23.93122,2021-11-21,2643.941,2021,46
67.65088_23.93122,2021-11-28,2300.4453,2021,47
67.65088_23.93122,2021-12-05,2002.7366,2021,48
67.65088_23.93122,2021-12-12,1800.8928,2021,49
67.65088_23.93122,2021-12-19,1654.2678,2021,50
67.65088_23.93122,2021-12-26,1626.5892,2021,51
67.65088_23.93122,2022-01-02,1545.1853,2022,52
67.65088_23.93122,2022-01-09,1479.2634,2022,1
67.65088_23.93122,2022-01-16,1506.5134,2022,2
