edge_id,from_node_id,to_node_id,river_name,length_km,wkt,edge_type
752,74.88167_31.16266,75.31350_31.02087,Spatial_Link,44.03864387078505,"LINESTRING (74.88166902810661 31.16265946534334, 75.31350452754108 31.020870290675692)",1
753,75.12526_31.12185,74.64652_31.07838,Spatial_Link,45.837158449822965,"LINESTRING (75.12526062327017 31.12185435671553, 74.64652463547498 31.078384016205245)",1
754,74.64652_31.07838,75.12526_31.12185,Spatial_Link,45.837158449822965,"LINESTRING (74.64652463547498 31.078384016205245, 75.12526062327017 31.12185435671553)",1
755,74.88167_31.16266,74.43860_30.94433,Spatial_Link,48.69015590228916,"LINESTRING (74.88166902810661 31.16265946534334, 74.43860151633133 30.94433126025375)",1
756,74.43860_30.94433,74.88167_31.16266,Spatial_Link,48.69015590228916,"LINESTRING (74.43860151633133 30.94433126025375, 74.88166902810661 31.16265946534334)",1
757,74.64652_31.07838,74.25626_30.81546,Spatial_Link,47.32683514000342,"LINESTRING (74.64652463547498 31.078384016205245, 74.25626487651776 30.815464719413956)",1
758,74.25626_30.81546,74.64652_31.07838,Spatial_Link,47.32683514000342,"LINESTRING (74.25626487651776 30.815464719413956, 74.64652463547498 31.078384016205245)",1
759,74.43860_30.94433,74.09916_30.63950,Spatial_Link,46.90605108924703,"LINESTRING (74.43860151633133 30.94433126025375, 74.09916306699355 30.63949945790752)",1
760,74.09916_30.63950,74.43860_30.94433,Spatial_Link,46.90605108924703,"LINESTRING (74.09916306699355 30.63949945790752, 74.43860151633133 30.94433126025375)",1
761,74.09916_30.63950,73.75820_30.36303,Spatial_Link,44.857923922266494,"LINESTRING (74.09916306699355 30.63949945790752, 73.75819810532559 30.36302506333424)",1
762,73.75820_30.36303,74.09916_30.63950,Spatial_Link,44.857923922266494,"LINESTRING (73.75819810532559 30.36302506333424, 74.09916306699355 30.63949945790752)",1
763,73.95493_30.44602,73.52403_30.27407,Spatial_Link,45.55020377405593,"LINESTRING (73.95493349740076 30.446015782629058, 73.524031922621 30.274072199698388)",1
764,73.52403_30.27407,73.95493_30.44602,Spatial_Link,45.55020377405593,"LINESTRING (73.524031922621 30.274072199698388, 73.95493349740076 30.446015782629058)",1
765,73.75820_30.36303,73.32245_30.16935,Spatial_Link,47.06449177718592,"LINESTRING (73.75819810532559 30.36302506333424, 73.32245256253755 30.16934804511313)",1
766,73.32245_30.16935,73.75820_30.36303,Spatial_Link,47.06449177718592,"LINESTRING (73.32245256253755 30.16934804511313, 73.75819810532559 30.36302506333424)",1
767,73.52403_30.27407,73.15766_30.09543,Spatial_Link,40.43052159099443,"LINESTRING (73.524031922621 30.274072199698388, 73.15766308437335 30.09543444834164)",1
768,73.15766_30.09543,73.52403_30.27407,Spatial_Link,40.43052159099443,"LINESTRING (73.15766308437335 30.09543444834164, 73.524031922621 30.274072199698388)",1
769,73.32245_30.16935,72.94058_29.98710,Spatial_Link,41.96201051904249,"LINESTRING (73.32245256253755 30.16934804511313, 72.94058458335712 29.98709500826935)",1
770,72.94058_29.98710,73.32245_30.16935,Spatial_Link,41.96201051904249,"LINESTRING (72.94058458335712 29.98709500826935, 73.32245256253755 30.16934804511313)",1
771,73.15766_30.09543,72.72813_29.90635,Spatial_Link,46.40001251242768,"LINESTRING (73.15766308437335 30.09543444834164, 72.72812552891027 29.90634962536813)",1
772,72.72813_29.90635,73.15766_30.09543,Spatial_Link,46.40001251242768,"LINESTRING (72.72812552891027 29.90634962536813, 73.15766308437335 30.09543444834164)",1
773,72.94058_29.98710,72.52316_29.83466,Spatial_Link,43.65780739810248,"LINESTRING (72.94058458335712 29.98709500826935, 72.52315869333927 29.83466080161802)",1
774,72.52316_29.83466,72.94058_29.98710,Spatial_Link,43.65780739810248,"LINESTRING (72.52315869333927 29.83466080161802, 72.94058458335712 29.98709500826935)",1
775,72.72813_29.90635,72.29341_29.78191,Spatial_Link,44.15242290030738,"LINESTRING (72.72812552891027 29.90634962536813, 72.29340560122847 29.781906571725013)",1
776,72.29341_29.78191,72.72813_29.90635,Spatial_Link,44.15242290030738,"LINESTRING (72.29340560122847 29.781906571725013, 72.72812552891027 29.90634962536813)",1
777,72.52316_29.83466,72.14986_29.63107,Spatial_Link,42.56328483532028,"LINESTRING (72.52315869333927 29.83466080161802, 72.14986248623741 29.631073504628763)",1
778,72.14986_29.63107,72.52316_29.83466,Spatial_Link,42.56328483532028,"LINESTRING (72.14986248623741 29.631073504628763, 72.52315869333927 29.83466080161802)",1
779,72.29341_29.78191,71.98043_29.49065,Spatial_Link,44.315678818290216,"LINESTRING (72.29340560122847 29.781906571725013, 71.98042644489627 29.490648329124248)",1
780,71.98043_29.49065,72.29341_29.78191,Spatial_Link,44.315678818290216,"LINESTRING (71.98042644489627 29.490648329124248, 72.29340560122847 29.781906571725013)",1
781,72.14986_29.63107,71.76628_29.46134,Spatial_Link,41.62953188184456,"LINESTRING (72.14986248623741 29.631073504628763, 71.7662814823507 29.461344786734376)",1
782,71.76628_29.46134,72.14986_29.63107,Spatial_Link,41.62953188184456,"LINESTRING (71.7662814823507 29.461344786734376, 72.14986248623741 29.631073504628763)",1
783,71.98043_29.49065,71.57885_29.39164,Spatial_Link,40.41544219323879,"LINESTRING (71.98042644489627 29.490648329124248, 71.57884697854192 29.391639145056818)",1
784,71.57885_29.39164,71.98043_29.49065,Spatial_Link,40.41544219323879,"LINESTRING (71.57884697854192 29.391639145056818, 71.98042644489627 29.490648329124248)",1
785,71.76628_29.46134,71.39389_29.36916,Spatial_Link,37.49777966390986,"LINESTRING (71.7662814823507 29.461344786734376, 71.39389257687819 29.36916133989496)",1
786,71.39389_29.36916,71.76628_29.46134,Spatial_Link,37.49777966390986,"LINESTRING (71.39389257687819 29.36916133989496, 71.7662814823507 29.461344786734376)",1
787,71.57885_29.39164,71.23445_29.39617,Spatial_Link,33.368624788456366,"LINESTRING (71.57884697854192 29.391639145056818, 71.23445482787162 29.396168022709627)",1
788,71.23445_29.39617,71.57885_29.39164,Spatial_Link,33.368624788456366,"LINESTRING (71.23445482787162 29.396168022709627, 71.57884697854192 29.391639145056818)",1
789,71.39389_29.36916,71.01560_29.36688,Spatial_Link,36.659589365054345,"LINESTRING (71.39389257687819 29.36916133989496, 71.0155970405623 29.366884347956773)",1
790,71.01560_29.36688,71.39389_29.36916,Spatial_Link,36.659589365054345,"LINESTRING (71.0155970405623 29.366884347956773, 71.39389257687819 29.36916133989496)",1
791,71.77490_30.61413,72.24486_30.58170,Spatial_Link,45.125134838149656,"LINESTRING (71.77490234375 30.61412994999412, 72.24486211326999 30.581703482828804)",1
792,72.24486_30.58170,71.77490_30.61413,Spatial_Link,45.125134838149656,"LINESTRING (72.24486211326999 30.581703482828804, 71.77490234375 30.61412994999412)",1
793,71.98614_30.61589,72.46049_30.61145,Spatial_Link,45.39561971259069,"LINESTRING (71.98614400375249 30.615890577389603, 72.46048641083372 30.611454248996232)",1
794,72.46049_30.61145,71.98614_30.61589,Spatial_Link,45.39561971259069,"LINESTRING (72.46048641083372 30.611454248996232, 71.98614400375249 30.615890577389603)",1
795,72.24486_30.58170,72.69793_30.59956,Spatial_Link,43.41261467776828,"LINESTRING (72.24486211326999 30.581703482828804, 72.69792797662843 30.599564391335274)",1
796,72.69793_30.59956,72.24486_30.58170,Spatial_Link,43.41261467776828,"LINESTRING (72.69792797662843 30.599564391335274, 72.24486211326999 30.581703482828804)",1
797,72.46049_30.61145,72.83949_30.71163,Spatial_Link,37.92437407645686,"LINESTRING (72.46048641083372 30.611454248996232, 72.83949334151097 30.711627137645607)",1
