node_id,date,year,week,discharge_avg,rainfall_sum_mm,elevation_m
67.65088_23.93122,2020-10-04,2020,40,5709.982,0.0,0.0
67.65088_23.93122,2020-10-11,2020,41,4638.9053,0.0,0.0
67.65088_23.93122,2020-10-18,2020,42,3925.664,13.700001,0.0
67.65088_23.93122,2020-10-25,2020,43,3644.7556,1.2,0.0
67.65088_23.93122,2020-11-01,2020,44,3503.8315,0.0,0.0
67.65088_23.93122,2020-11-08,2020,45,3194.816,0.0,0.0
67.65088_23.93122,2020-11-15,2020,46,3017.155,0.0,0.0
67.65088_23.93122,2020-11-22,2020,47,2685.6997,0.0,0.0
67.65088_23.93122,2020-11-29,2020,48,2471.576,0.0,0.0
67.65088_23.93122,2020-12-06,2020,49,2497.2566,0.0,0.0
67.65088_23.93122,2020-12-13,2020,50,2238.3572,0.0,0.0
67.65088_23.93122,2020-12-20,2020,51,1990.5837,0.0,0.0
67.65088_23.93122,2020-12-27,2020,52,1962.8683,0.0,0.0
67.65088_23.93122,2021-01-10,2021,1,1809.9442,0.0,0.0
67.65088_23.93122,2021-01-17,2021,2,1797.4642,0.0,0.0
67.65088_23.93122,2021-01-24,2021,3,1964.7567,0.0,0.0
67.65088_23.93122,2021-01-31,2021,4,1728.3527,0.0,0.0
67.65088_23.93122,2021-02-07,2021,5,1534.2634,0.0,0.0
67.65088_23.93122,2021-02-14,2021,6,1467.2322,0.0,0.0
67.65088_23.93122,2021-02-21,2021,7,1370.9108,0.0,0.0
67.65088_23.93122,2021-02-28,2021,8,1254.1428,0.0,0.0
67.65088_23.93122,2021-03-07,2021,9,1117.4197,0.0,0.0
67.65088_23.93122,2021-03-14,2021,10,1035.0312,0.0,0.0
67.65088_23.93122,2021-03-21,2021,11,1196.0358,0.0,0.0
67.65088_23.93122,2021-03-28,2021,12,1471.6384,0.0,0.0
67.65088_23.93122,2021-04-04,2021,13,1865.1295,0.0,0.0
67.65088_23.93122,2021-04-11,2021,14,2429.1562,0.0,0.0
67.65088_23.93122,2021-04-18,2021,15,2437.6653,0.0,0.0
67.65088_23.93122,2021-04-25,2021,16,2478.5134,0.0,0.0
67.65088_23.93122,2021-05-02,2021,17,2523.8972,0.0,0.0
67.65088_23.93122,2021-05-09,2021,18,2732.3884,0.0,0.0
67.65088_23.93122,2021-05-16,2021,19,2410.826,0.0,0.0
